SKU,IMAGE URL,TITLE,QUANTITY,"STATUS",DESCRIPTION,SAMPLE RETAIL PRICE,PRODUCT COST,MANUFACTURER,MANUFACTURER ID,MAIN CATEGORY,SUB CATEGORY,THUMBNAIL URL,WEIGHT,MAP PRICE,MSRP,UPC,ASIN,CUSTOM SHIPPING RATE,SHORT DESCRIPTION
"GS44217","http://www.inventorysource.com/images/gs/GS44217.jpg","Tetragon 7","17",Yes,"<b>Tetragon - Tetragon 7</b><br>Manufacture ID: 2628225<br><br>Features:
<br>
<br>- 2 pole rectangular dome tent
<br>- Durable shockcorded fiberglass frame, ring and pin attachments, and color coded webbing make set up fast
<br>- Brim over twin-track, side-opening door offers protected front entry; brimmed rear window allows ventilation during inclement weather
<br>- Bathtub floor protects against splashing rain
<br>- Hanging gear loft and 2 detachable interior storage pockets keep essential items handy; mesh panels allow for clip-in accessories
<br>
<br>Specifications:
<br>
<br>- Season:  3
<br>- Sleeps:  3
<br>- Doors:  1
<br>- Windows:  2
<br>- Weight:  6 lbs 10 oz
<br>- Area:  49 sq ft
<br>- Center Height:  4' 4","109.99","68.24","Eureka!","2628225","Tents","3 Person Tents (Max)","http://www.inventorysource.com/images/gs/t_GS44217.jpg","8.15","0.00","109.99","083826282256","","","Tetragon - Tetragon 7  Manufacture ID: 2628225    Features:    - 2 pole rectangular dome tent  - Durable shockcorded fiberglass frame, ring and pin attachments, and color coded webbing make set up fast  - Brim over twin-track, side-opening door offers protected front entry; brimmed rear window allows ventilation during inclement weather  - Bathtub floor protects against splashing rain  - Hanging g",
"GS40827","http://www.inventorysource.com/images/gs/GS40827.jpg","Pinnacle Pass 2XTA","0",No,"<b>Pinnacle Pass - Pinnacle Pass 2XTA</b><br>Manufacture ID: 2628101<br><br>Multi-purpose and compact with 2 mesh doors and 2 full coverage vestibules.
<br>
<br>Features:
<br>
<br>- 2 pole rectangular dome tent with 13.4 sq ft of vestibule storage
<br>- Durable, shockcorded, self-supporting frame is constructed of lightweight 7000 series aluminum
<br>- Ring and pin/pole pocket assembly makes set up fast and easy
<br>- Side opening door panels are constructed entirely of no-see-um mesh to maximize air flow inside
<br>- Poke-out vent in side wall allows the option of additional ventilation when needed 
<br>- 2 interior storage pockets keep essential items handy
<br>- Low impact colors
<br>
<br>Specifications:
<br>
<br>- Season:  3
<br>- Sleeps:  2
<br>- Doors:  2
<br>- Windows:  2
<br>- Weight:  4 lbs 11 oz
<br>- Area:  36.5 Sq. Ft.
<br>- Center Height:  3' 7.5""<br><br>Warranty: Warranted against manufacturer defects.","189.99","110.58","Eureka!","2628101","Tents","2 Person Tents (Max)","http://www.inventorysource.com/images/gs/t_GS40827.jpg","4.11","0.00","189.99","083826281013","","","Pinnacle Pass - Pinnacle Pass 2XTA  Manufacture ID: 2628101    Multi-purpose and compact with 2 mesh doors and 2 full coverage vestibules.    Features:    - 2 pole rectangular dome tent with 13.4 sq ft of vestibule storage  - Durable, shockcorded, self-supporting frame is constructed of lightweight 7000 series aluminum  - Ring and pin/pole pocket assembly makes set up fast and easy  - Side opening",
"GS40719","http://www.inventorysource.com/images/gs/GS40719.jpg","Alpha Convertible (2007 Model)","0",No,"<b>4-Season Tents - Alpha</b><br>Manufacture ID: 1333<br><br>Three people, three or four seasons, and all the features you need in a tent. You can shave a pound off this baby, leaving Shok-Cert removable pole sections at home and exposing mesh doors and tent panels if you don't need the extra durability and stability of the four-season configuration. DAC Featherlite SL poles withstand strong winds, but won't break your back on the hike in. A removable Stash Door opens up and ventilates when the weather's happy. The generous vestibule stores gear, allows you to pull on boots, or just slide in and out of the Alpha without drama. Versatile and reliable, the Alpha goes year-round, wherever your journeys take you. 
<br>
<br>
<br>Features:  Tent Guard with Ultra Fresh; CAD Design; DAC Featherlite SL Poles; Removable Stash Door; Removable Pole Sections; Shok-Certs; Clip-Locs; Swift Clips; Reflective Guy-outs and Zipper Pulls; Color-Coded Webbing; Locking Pole Tips; Optic White Canopy; Double Grommets; Interlocs; Gear Pockets
<br>
<br>Trail Weight:  (3-Season) 7 lbs 10 oz (4-Season) 8 lbs 10 oz
<br>Fast Pack Weight (3-Season) 3 lbs 13 oz (4-Season) 5 lbs 3 oz
<br>Packed Weight;  (3-Season) 8 lbs 6 oz (4-Season) 9 lbs 5 oz
<br>Number of Doors:  2
<br>Interior Area:  46 sq. ft.
<br>Vestibule Area:  17 sq. ft.
<br>Peak Height:  45""
<br>Floor Material:  70D PU Coated Nylon Taffeta 3000mm
<br>Body Material:  70D Nylon Rip Stop
<br>Fly Material:  70D PU Coated Nylon Taffeta 1500mm
<br>Poles:  DAC Featherlite SL 9.8mm<br><br>Warranty: Sierra Designs guarantees that the materials and workmanship in every product we make will stand up to the use for which it was designed.","359.0","244.96","Sierra Designs","1333","Tents","3 Person Tents (Max)","http://www.inventorysource.com/images/gs/t_GS40719.jpg","7.65","0.00","359.00","054003197328","","","4-Season Tents - Alpha  Manufacture ID: 1333    Three people, three or four seasons, and all the features you need in a tent. You can shave a pound off this baby, leaving Shok-Cert removable pole sections at home and exposing mesh doors and tent panels if you don't need the extra durability and stability of the four-season configuration. DAC Featherlite SL poles withstand strong winds, but won't b",
"GS39028","http://www.inventorysource.com/images/gs/GS39028.jpg","Meteor Light (2007 Model)","0",No,"<b>3-Season Tents - Meteor Light</b><br>Manufacture ID: 1363<br><br>A solid performer for 3-season camping.  An easy-to-pitch tent with a double track vestibule that can convert to an awning along with a SuperSeal floor make it an all-around hero.  Features:  Tent Guard with Ultra Fresh; Computer Aided Design; SuperSeal Floor; Swift Clips; Stash Door; Reflective Guy-outs and Zipper pulls; Color-coded webbing; DAC Featherlite Poles; Locking pole tips; Optic White Canopy; Double Grommets; Double Track Vestibule; Gear Pockets; Fast Pack Footprint (compatible); Adjustable Venting Rain Fly.
<br>
<br>Total Weight:  6 lbs 10 oz
<br>Fast Pack Weight:  4 lbs 7 oz
<br>Packed Weight:  7 lbs 5 oz
<br>Packed Size:  24""x5""
<br>Number of Doors:  2
<br>Interior Area:  40 sq ft
<br>Vestibule Area:  16 sq ft
<br>Peak Height:  43""
<br>Floor Type:  SuperSeal
<br>Floor Material:  70D Taffeta Nylon, 3000mm
<br>Body Material:  70D Nylon Rip stop
<br>Fly Material:  70D Taffeta Nylon, 1500mm
<br>Number of Poles:  3
<br>Poles:  DAC 9.0mm Featherlite SL 7001<br><br>Warranty: Sierra Designs guarantees that the materials and workmanship in every product we make will stand up to the use for which it was designed.","239.0","163.08","Sierra Designs","1363","Tents","Tents","http://www.inventorysource.com/images/gs/t_GS39028.jpg","7.8","0.00","239.00","054003352475","","","3-Season Tents - Meteor Light  Manufacture ID: 1363    A solid performer for 3-season camping. An easy-to-pitch tent with a double track vestibule that can convert to an awning along with a SuperSeal floor make it an all-around hero. Features: Tent Guard with Ultra Fresh; Computer Aided Design; SuperSeal Floor; Swift Clips; Stash Door; Reflective Guy-outs and Zipper pulls; Color-coded webbing; DAC",
"GS37217","http://www.inventorysource.com/images/gs/GS37217.jpg","Northern Breeze","54",Yes,"<b>Shelter/Screen Houses - Northern Breeze</b><br>Manufacture ID: 2626300<br><br>This 3 season, 4 pole square umbrella screen house features vertical side walls for maximum usable interior space, plus built-in wind curtains on all four sides that can double as awnings when extra space is needed.  (One set of awning poles is included; additional sets can be purchased separately.)  A picnic table will easily fit inside the screen house or outside beneath the awning.  Ring & pin assembly, durable shockcorded aluminum frame, and Eureka! hub make set up fast and easy.  Two full length doors zip completely open and out of the way for easy entry and exit.
<br>
<br>Features:
<br>
<br>- UV-resistant 150D StormShield polyester fabric used in roof cloth and wind curtains resists tearing
<br>- 50D polyester No-see-um mesh wall panels
<br>- 144 sq. ft. of interior space
<br>- 64.5 sq. ft. of awning-covered exterior space, each side
<br>
<br>Specifications:
<br>
<br>- Floor:  12' x 12' (144 Sq. Ft.)
<br>- Center Height:  8' 5""
<br>- Fly:  N/A
<br>- Floor Type:  N/A***
<br>- Weight:  28 lbs.                                                                                                     
